scorer,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
42,382.2015380859375,333.3705749511719,0.9980564117431641,369.76849365234375,330.05401611328125,0.9985640645027161,357.1376037597656,326.5229797363281,0.9995614886283875,349.65545654296875,327.9574279785156,0.9992073178291321
43,381.40618896484375,333.03662109375,0.9973433613777161,369.0267028808594,330.12725830078125,0.9984466433525085,356.5204772949219,325.9776916503906,0.9995692372322083,349.2763366699219,327.3118896484375,0.9992826581001282
44,378.2279357910156,334.010009765625,0.9958853125572205,367.33050537109375,329.4822998046875,0.9977065324783325,354.96783447265625,325.74932861328125,0.9996533393859863,348.36083984375,327.4949035644531,0.9992662072181702
45,380.801025390625,333.2821044921875,0.9963151812553406,368.9565734863281,330.5185241699219,0.9982045888900757,355.7459716796875,325.37310791015625,0.9996035695075989,348.9632568359375,326.7535705566406,0.9994520545005798
46,381.1679992675781,332.523681640625,0.99750816822052,369.02056884765625,329.93341064453125,0.9978623986244202,356.0533447265625,326.9346923828125,0.9992974996566772,349.8927001953125,328.3661804199219,0.9988217949867249
47,381.3745422363281,335.2974548339844,0.9985053539276123,369.5941467285156,331.4991149902344,0.9986466765403748,355.931640625,326.11822509765625,0.9993553757667542,349.0137939453125,326.7754821777344,0.9991212487220764
48,381.1648864746094,334.7133483886719,0.9982189536094666,369.7418212890625,329.81890869140625,0.998018741607666,356.65185546875,326.0299987792969,0.9993938207626343,349.26470947265625,327.3406982421875,0.9989626407623291
49,380.8499755859375,334.8474426269531,0.9984056353569031,369.3991394042969,330.8628234863281,0.998507559299469,355.92657470703125,325.8881530761719,0.9995525479316711,349.308837890625,326.8428039550781,0.9995076656341553
50,380.85333251953125,335.9811096191406,0.9983880519866943,368.6381530761719,331.1138000488281,0.998363196849823,355.0727844238281,324.95208740234375,0.9996399879455566,348.2182922363281,326.3702392578125,0.9993688464164734
51,379.910400390625,335.8394775390625,0.9980621933937073,368.42437744140625,331.2720947265625,0.9984909296035767,355.236328125,325.207275390625,0.9998050332069397,348.63275146484375,325.9934387207031,0.9996641874313354
